protein1 protein2 experimental database textmining combined_score
362663.ECP_0014 362663.ECP_1580 152 0 225 314
362663.ECP_0014 362663.ECP_1658 56 0 159 172
362663.ECP_0014 362663.ECP_4399 140 463 0 518
362663.ECP_0014 362663.ECP_3209 59 193 0 208
362663.ECP_0014 362663.ECP_3241 216 0 93 258
362663.ECP_0014 362663.ECP_4417 0 0 475 475
362663.ECP_0014 362663.ECP_2203 117 0 79 151
362663.ECP_0014 362663.ECP_2858 59 193 0 208
362663.ECP_0014 362663.ECP_2533 58 0 521 529
362663.ECP_0014 362663.ECP_4352 137 198 56 289
362663.ECP_0014 362663.ECP_2915 105 0 256 305
362663.ECP_0014 362663.ECP_4387 291 591 618 879
362663.ECP_0014 362663.ECP_3317 153 0 0 152
362663.ECP_0014 362663.ECP_3268 0 0 251 250
362663.ECP_0014 362663.ECP_1727 151 99 239 367
362663.ECP_0014 362663.ECP_3388 152 0 277 360
362663.ECP_0014 362663.ECP_0952 138 0 97 188
362663.ECP_0014 362663.ECP_2475 0 0 222 222
362663.ECP_0014 362663.ECP_3122 152 498 0 556
362663.ECP_0014 362663.ECP_1397 220 0 93 262
362663.ECP_0014 362663.ECP_1900 216 0 145 301
362663.ECP_0014 362663.ECP_3430 278 538 256 730
362663.ECP_0014 362663.ECP_0534 294 498 849 941
362663.ECP_0014 362663.ECP_2532 195 592 851 946
362663.ECP_0014 362663.ECP_0535 0 0 220 220
362663.ECP_0014 362663.ECP_3909 59 193 0 208
362663.ECP_0014 362663.ECP_2530 138 0 132 219
362663.ECP_0014 362663.ECP_2712 136 509 45 559
362663.ECP_0014 362663.ECP_2235 292 507 98 657
362663.ECP_0014 362663.ECP_3640 59 193 0 208
362663.ECP_0014 362663.ECP_2395 83 0 163 199
362663.ECP_0014 362663.ECP_3500 58 0 257 270
362663.ECP_0014 362663.ECP_3402 108 0 148 207
362663.ECP_0014 362663.ECP_2550 264 517 78 643
362663.ECP_0014 362663.ECP_0509 97 180 76 256
362663.ECP_0014 362663.ECP_4000 148 0 108 207
362663.ECP_0014 362663.ECP_0999 125 0 422 472
362663.ECP_0014 362663.ECP_2928 149 54 90 203
362663.ECP_0014 362663.ECP_3530 55 498 0 505
362663.ECP_0014 362663.ECP_4313 150 512 44 568
362663.ECP_0014 362663.ECP_1943 162 0 0 161
362663.ECP_0014 362663.ECP_2671 93 0 112 160
362663.ECP_0014 362663.ECP_2519 97 0 129 179
362663.ECP_0014 362663.ECP_1850 59 193 0 208
362663.ECP_0014 362663.ECP_3694 152 0 95 199
362663.ECP_0014 362663.ECP_1023 264 517 78 643
362663.ECP_0014 362663.ECP_2340 152 0 139 238
362663.ECP_0014 362663.ECP_0555 149 54 90 203
362663.ECP_0014 362663.ECP_0395 243 0 79 272
362663.ECP_0014 362663.ECP_2534 292 0 849 888
362663.ECP_0014 362663.ECP_3401 293 0 466 606
362663.ECP_0014 362663.ECP_3728 186 0 79 218
362663.ECP_0014 362663.ECP_4400 148 463 0 522
362663.ECP_0014 362663.ECP_0638 223 0 429 537
362663.ECP_0014 362663.ECP_0925 97 180 76 256
362663.ECP_0014 362663.ECP_0097 0 0 598 598
362663.ECP_0014 362663.ECP_1601 0 0 201 201
362663.ECP_0014 362663.ECP_0434 117 0 79 151
362663.ECP_0014 362663.ECP_3906 99 0 156 207
362663.ECP_0014 362663.ECP_0492 0 0 187 187
362663.ECP_0014 362663.ECP_2794 199 0 106 253
362663.ECP_0014 362663.ECP_2569 100 0 119 173
362663.ECP_0014 362663.ECP_2916 151 99 239 367
362663.ECP_0014 362663.ECP_1810 285 0 0 284
362663.ECP_0014 362663.ECP_3437 282 492 87 637
362663.ECP_0014 362663.ECP_3448 117 0 79 151
362663.ECP_0014 362663.ECP_1782 136 509 45 559
362663.ECP_0014 362663.ECP_0987 59 462 0 472
362663.ECP_0014 362663.ECP_0176 97 0 114 165
362663.ECP_0014 362663.ECP_1456 152 0 54 163
362663.ECP_0014 362663.ECP_3972 220 0 93 262
362663.ECP_0014 362663.ECP_2722 134 0 557 599
362663.ECP_0014 362663.ECP_2523 233 0 0 232
362663.ECP_0014 362663.ECP_2341 152 0 93 197
362663.ECP_0014 362663.ECP_0552 125 0 80 160
362663.ECP_0014 362663.ECP_0015 985 533 950 999
362663.ECP_0014 362663.ECP_3659 59 462 0 472
362663.ECP_0014 362663.ECP_1631 58 0 145 160
362663.ECP_0014 362663.ECP_2760 148 0 257 339
362663.ECP_0014 362663.ECP_0895 59 462 0 472
362663.ECP_0014 362663.ECP_3554 288 0 847 886
362663.ECP_0014 362663.ECP_0897 270 0 563 667
362663.ECP_0014 362663.ECP_1199 125 0 80 160
362663.ECP_0014 362663.ECP_0735 148 463 0 522
362663.ECP_0014 362663.ECP_2684 220 0 0 220
362663.ECP_0015 362663.ECP_3454 268 516 95 651
362663.ECP_0015 362663.ECP_0484 267 0 0 267
362663.ECP_0015 362663.ECP_3450 164 0 0 163
362663.ECP_0015 362663.ECP_3431 0 538 217 622
362663.ECP_0015 362663.ECP_2595 227 519 614 843
362663.ECP_0015 362663.ECP_2597 224 0 0 224
362663.ECP_0015 362663.ECP_1489 0 204 97 250
362663.ECP_0015 362663.ECP_3314 265 0 0 265
362663.ECP_0015 362663.ECP_3157 138 0 181 263
362663.ECP_0015 362663.ECP_3241 172 0 0 171
362663.ECP_0015 362663.ECP_2109 292 533 251 730
362663.ECP_0015 362663.ECP_4386 277 0 189 388
362663.ECP_0015 362663.ECP_0229 139 519 145 614
362663.ECP_0015 362663.ECP_4425 221 0 0 221
362663.ECP_0015 362663.ECP_3273 282 0 0 282
362663.ECP_0015 362663.ECP_2324 187 0 0 187
362663.ECP_0015 362663.ECP_3630 291 488 157 667
362663.ECP_0015 362663.ECP_2849 218 0 0 218
362663.ECP_0015 362663.ECP_2304 218 0 0 218
362663.ECP_0015 362663.ECP_0741 277 488 79 629
362663.ECP_0015 362663.ECP_1709 58 0 145 160
362663.ECP_0015 362663.ECP_0158 182 0 0 181
362663.ECP_0015 362663.ECP_3407 58 538 0 546
362663.ECP_0015 362663.ECP_0059 224 0 0 224
362663.ECP_0015 362663.ECP_3389 225 0 0 224
362663.ECP_0015 362663.ECP_2659 253 0 256 420
362663.ECP_0015 362663.ECP_4075 282 0 0 282
362663.ECP_0015 362663.ECP_0973 274 0 0 274
362663.ECP_0015 362663.ECP_2532 98 0 593 617
362663.ECP_0015 362663.ECP_0534 292 515 629 861
362663.ECP_0015 362663.ECP_0500 56 0 273 284
362663.ECP_0015 362663.ECP_1900 172 0 0 171
362663.ECP_0015 362663.ECP_2806 139 519 145 614
362663.ECP_0015 362663.ECP_4252 199 0 0 199
362663.ECP_0015 362663.ECP_3430 175 0 94 220
362663.ECP_0015 362663.ECP_0586 268 516 95 651
362663.ECP_0015 362663.ECP_0953 289 0 0 288
362663.ECP_0015 362663.ECP_2235 135 502 117 586
362663.ECP_0015 362663.ECP_4247 91 397 0 428
362663.ECP_0015 362663.ECP_0014 985 533 950 999
362663.ECP_0015 362663.ECP_2614 295 0 950 963
362663.ECP_0015 362663.ECP_3408 225 0 0 224
362663.ECP_0015 362663.ECP_1648 218 0 0 218
