protein1 protein2 experimental database textmining combined_score
1034809.SLUG_00140 1034809.SLUG_17160 305 0 0 305
1034809.SLUG_00140 1034809.SLUG_07680 996 266 0 996
1034809.SLUG_00140 1034809.SLUG_16610 996 293 0 997
1034809.SLUG_00140 1034809.SLUG_07930 996 0 0 996
1034809.SLUG_00140 1034809.SLUG_14300 305 0 0 305
1034809.SLUG_00140 1034809.SLUG_12480 996 761 0 999
1034809.SLUG_00140 1034809.SLUG_22610 996 293 0 997
1034809.SLUG_00140 1034809.SLUG_22640 305 0 0 305
1034809.SLUG_00140 1034809.SLUG_16660 305 0 0 305
1034809.SLUG_00140 1034809.SLUG_13360 996 0 0 996
1034809.SLUG_00140 1034809.SLUG_07790 996 0 0 996
1034809.SLUG_00140 1034809.SLUG_07710 996 0 0 996
1034809.SLUG_00140 1034809.SLUG_16380 835 293 0 878
1034809.SLUG_00140 1034809.SLUG_22720 305 0 0 305
1034809.SLUG_00140 1034809.SLUG_20450 723 984 0 995
1034809.SLUG_00140 1034809.SLUG_22700 996 957 0 999
1034809.SLUG_00140 1034809.SLUG_07810 996 0 0 996
1034809.SLUG_00140 1034809.SLUG_13830 835 0 0 835
1034809.SLUG_00140 1034809.SLUG_07840 996 0 0 996
1034809.SLUG_00140 1034809.SLUG_12730 996 830 0 999
1034809.SLUG_00140 1034809.SLUG_16300 305 0 0 305
1034809.SLUG_00140 1034809.SLUG_20480 989 0 0 989
1034809.SLUG_00140 1034809.SLUG_07860 996 266 0 996
1034809.SLUG_00140 1034809.SLUG_07770 996 0 0 996
1034809.SLUG_00140 1034809.SLUG_23870 996 0 0 996
1034809.SLUG_00140 1034809.SLUG_22620 996 293 0 997
1034809.SLUG_00140 1034809.SLUG_23070 996 0 0 996
1034809.SLUG_00140 1034809.SLUG_22690 985 733 0 995
1034809.SLUG_00140 1034809.SLUG_07730 996 0 0 996
1034809.SLUG_00140 1034809.SLUG_19310 228 0 0 227
1034809.SLUG_00140 1034809.SLUG_07700 996 913 0 999
1034809.SLUG_00140 1034809.SLUG_08010 996 951 0 999
1034809.SLUG_00140 1034809.SLUG_16910 305 0 0 305
1034809.SLUG_00140 1034809.SLUG_07940 996 266 0 996
1034809.SLUG_00140 1034809.SLUG_07740 996 916 0 999
1034809.SLUG_00140 1034809.SLUG_14290 305 0 0 305
1034809.SLUG_00140 1034809.SLUG_22710 259 0 0 258
1034809.SLUG_00140 1034809.SLUG_07850 996 0 0 996
1034809.SLUG_00140 1034809.SLUG_15880 305 0 0 305
1034809.SLUG_00140 1034809.SLUG_12470 996 0 0 996
